match_id,cmp_id,homeTeamId,awayTeamId,startDate,courtId,referee_id,round,isDraw,last_match,is_bye,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,total_goals,goal_difference,home_win,match_year,match_month,match_day,match_weekday,home_team_goals,away_team_goals,home_team_points,away_team_points,home_result,away_result,home_win_ratio,away_win_ratio,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_recent_form,away_recent_form,home_elo,away_elo,h2h_home_wins,h2h_away_wins,h2h_matches,home_last5_avg_goals,away_last5_avg_goals
97888,430,20,17,2/28/2023,11,1,2,0,0,0,0,0,0,0,Western United FC,Fitzroy FC,8,4,0,2023,2,28,1,2,6,0,3,L,W,0,1,1.5,5,3.5,0.8,0,1,1438.596537,1572.52311,0,0,0,1.5,5
97908,430,21,22,3/3/2023,11,1,7,0,1,0,0,0,0,0,Campbellfield FC,FC Carlton Heart,9,1,1,2023,3,3,4,5,4,0,0,W,L,0.666666667,0.333333333,5.166666667,3.666666667,3.166666667,4.5,0.6,0.4,1529.891498,1471.656612,0,0,0,5,4
97906,430,20,19,3/3/2023,11,1,7,0,0,0,0,0,0,0,Western United FC,Altona Knights FC,15,5,1,2023,3,3,4,10,5,3,0,W,L,0,0.333333333,1.6,3.333333333,4,4.166666667,0,0.4,1428.475735,1475.640826,0,0,0,1.6,3
97907,430,17,18,3/3/2023,11,1,7,0,0,0,0,0,0,0,Fitzroy FC,Moreland Blues FC,7,1,1,2023,3,3,4,4,3,3,0,W,L,1,0.833333333,5.166666667,3.833333333,1,2.166666667,1,0.8,1582.643913,1555.809674,0,0,0,5.2,3.8
97905,430,325,331,3/3/2023,11,1,7,0,0,0,0,0,0,0,Roxburgh Park Gorillas,Hume FC,4,2,0,2023,3,3,4,1,3,0,3,L,W,0.333333333,0.4,2,2.2,5.333333333,3.2,0.4,0.4,1470.634024,1485.247719,0,0,0,2.2,2.2
97892,430,331,20,3/7/2023,11,1,3,0,0,0,0,0,0,0,Hume FC,Western United FC,8,2,1,2023,3,7,1,5,3,3,0,W,L,0.5,0.166666667,2.333333333,3,2.833333333,4.166666667,0.6,0.2,1500.57513,1446.634522,0,0,0,2.6,3.4
97909,430,331,17,3/10/2023,11,1,8,0,0,0,0,0,0,0,Hume FC,Fitzroy FC,3,1,1,2023,3,10,4,2,1,0,0,W,L,0.571428571,1,2.714285714,5,2.857142857,1.285714286,0.6,1,1514.110841,1597.410602,0,1,1,2.8,4.6
97910,430,325,18,3/10/2023,11,1,8,0,0,0,0,0,0,0,Roxburgh Park Gorillas,Moreland Blues FC,10,2,0,2023,3,10,4,4,6,0,3,L,W,0.285714286,0.714285714,1.857142857,3.714285714,5,2.428571429,0.4,0.6,1455.306613,1541.042985,0,1,1,1.8,3.6
97911,430,22,20,3/10/2023,11,1,8,0,0,0,0,0,0,0,FC Carlton Heart,Western United FC,7,1,0,2023,3,10,4,3,4,0,0,L,W,0.285714286,0.142857143,3.714285714,3,4.571428571,4.285714286,0.4,0.2,1458.313592,1433.098811,1,0,1,4.6,3.6
97912,430,21,19,3/10/2023,11,1,8,0,0,0,0,0,0,0,Campbellfield FC,Altona Knights FC,9,1,0,2023,3,10,4,4,5,0,3,L,W,0.714285714,0.285714286,5.142857143,3.571428571,3.285714286,5,0.6,0.4,1543.234518,1457.482039,1,0,1,3.6,3.8
97913,430,18,19,3/17/2023,11,1,9,0,0,0,0,0,0,0,Moreland Blues FC,Altona Knights FC,12,6,1,2023,3,17,4,9,3,3,0,W,L,0.75,0.375,4,3.75,2.625,4.875,0.6,0.6,1553.172918,1477.352804,1,0,1,3.8,4.6
97914,430,22,331,3/17/2023,11,1,9,0,0,0,0,0,0,0,FC Carlton Heart,Hume FC,9,3,0,2023,3,17,4,3,6,0,3,L,W,0.25,0.625,3.625,2.625,4.5,2.625,0.4,0.6,1441.154443,1533.875085,0,1,1,4.2,2.6
