match_id,cmp_id,homeTeamId,awayTeamId,startTime,endTime,startDate,startingTime,courtId,courtName,quaterFinal,semiFinals,final,referee_id,winningTeam,losingTeam,winningTeamGoals,losingTeamGoals,winningTeamPoints,losingTeamPoints,status,round,isDraw,last_match,is_bye,note,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,competitionName,seasonName
97901,430,19,17,2/24/2023 18:45,2/24/2023 20:00,2/24/2023,18:45:00,11,Series Futsal Arena,,,,1,17,19,7,0,3,0,Completed,6,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97902,430,22,18,2/24/2023 20:00,2/24/2023 21:15,2/24/2023,20:00:00,11,Series Futsal Arena,,,,1,18,22,4,3,3,0,Completed,6,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97903,430,20,325,2/24/2023 21:15,2/24/2023 22:30,2/24/2023,21:15:00,11,Series Futsal Arena,,,,1,325,20,3,2,0,0,Completed,6,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Roxburgh Park Gorillas,2023/1 Series Futsal Victoria Men,2023/1
97904,430,21,331,2/24/2023 22:30,2/24/2023 23:45,2/24/2023,22:30:00,11,Series Futsal Arena,,,,1,21,331,4,3,3,0,Completed,6,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97905,430,325,331,3/3/2023 18:45,3/3/2023 20:00,3/3/2023,18:45:00,11,Series Futsal Arena,,,,1,331,325,3,1,3,0,Completed,7,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
97906,430,20,19,3/3/2023 20:00,3/3/2023 21:15,3/3/2023,20:00:00,11,Series Futsal Arena,,,,1,20,19,10,5,3,0,Completed,7,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97907,430,17,18,3/3/2023 21:15,3/3/2023 22:30,3/3/2023,21:15:00,11,Series Futsal Arena,,,,1,17,18,4,3,3,0,Completed,7,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97908,430,21,22,3/3/2023 22:30,3/3/2023 23:45,3/3/2023,22:30:00,11,Series Futsal Arena,,,,1,21,22,5,4,0,0,Completed,7,no,yes,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97909,430,331,17,3/10/2023 18:45,3/10/2023 20:00,3/10/2023,18:45:00,11,Series Futsal Arena,,,,1,331,17,2,1,0,0,Completed,8,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97910,430,325,18,3/10/2023 20:00,3/10/2023 21:15,3/10/2023,20:00:00,11,Series Futsal Arena,,,,1,18,325,6,4,3,0,Completed,8,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97911,430,22,20,3/10/2023 21:15,3/10/2023 22:30,3/10/2023,21:15:00,11,Series Futsal Arena,,,,1,20,22,4,3,0,0,Completed,8,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Western United FC,2023/1 Series Futsal Victoria Men,2023/1
